Region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northeastern,2020-04-15,320,5813,1253904,Northeastern,115,1652,0.0696125907990315,0.0131019371726794,0.188212175732751,24,231,0.103896103896104,0.0191402212609578,0.184224629636719
Northeastern,2020-04-16,348,6068,1253904,Northeastern,133,1744,0.0762614678899083,0.0151526751649249,0.198693725470895,28,255,0.109803921568627,0.0223302581377841,0.203364850897676
Northeastern,2020-04-17,396,6355,1253904,Northeastern,167,1689,0.0988750740082889,0.0190262913724997,0.192427581605701,48,287,0.167247386759582,0.0382804425219156,0.228885145912287
Northeastern,2020-04-18,430,6627,1253904,Northeastern,194,1797,0.107957707289928,0.0221023983608679,0.204732009559173,34,272,0.125,0.0271153134530235,0.216922507624188
Northeastern,2020-04-19,447,6826,1253904,Northeastern,196,1793,0.109313998884551,0.0223302581377841,0.204276290005341,17,199,0.085427135678392,0.0135576567265118,0.158704334622108
Northeastern,2020-04-20,525,7095,1253904,Northeastern,257,1817,0.141441937259218,0.0292799813337271,0.207010607328335,78,269,0.28996282527881,0.0622057190981128,0.214529979966568
Northeastern,2020-04-21,555,7329,1253904,Northeastern,259,1747,0.14825414997138,0.0295078411106432,0.199035515136269,30,234,0.128205128205128,0.0239252765761972,0.186617157294338
Northeastern,2020-04-22,650,7678,1253904,Northeastern,330,1865,0.176943699731903,0.0375968631911671,0.212479241974323,95,349,0.272206303724928,0.0757633758246245,0.278330717503094
Northeastern,2020-04-23,711,8064,1253904,Northeastern,363,1996,0.18186372745491,0.0413565495102838,0.227404057362332,61,386,0.158031088082902,0.048648062371601,0.307838558613738
Northeastern,2020-04-24,873,8741,1253904,Northeastern,477,2386,0.199916177703269,0.0543445567945051,0.271836713860984,162,677,0.239290989660266,0.129196493511465,0.539913741402851
Northeastern,2020-04-25,993,9398,1253904,Northeastern,563,2771,0.203175748827138,0.0641425272019002,0.315699720917345,120,657,0.182648401826484,0.0957011063047889,0.523963557018719
Northeastern,2020-04-26,1057,9734,1253904,Northeastern,610,2908,0.209766162310867,0.06949723195943,0.331308115636102,64,336,0.19047619047619,0.0510405900292207,0.267963097653409
Northeastern,2020-04-27,1141,10358,1253904,Northeastern,616,3263,0.188783328225559,0.0701808112901785,0.371753226038722,84,624,0.134615384615385,0.0669907744133522,0.497645752784902
Northeastern,2020-04-28,1215,10741,1253904,Northeastern,660,3412,0.193434935521688,0.0751937263823341,0.388728779418976,74,383,0.193211488250653,0.0590156822212865,0.305446030956118
Northeastern,2020-04-29,1280,11288,1253904,Northeastern,630,3610,0.174515235457064,0.0717758297285917,0.411286897333676,65,547,0.118829981718464,0.0518380992484273,0.436237542905996
Northeastern,2020-04-30,1373,12011,1253904,Northeastern,662,3947,0.167722320749937,0.0754215861592503,0.44968126974405,93,723,0.128630705394191,0.0741683573862114,0.576599165486353
Northeastern,2020-05-01,1527,12827,1253904,Northeastern,654,4086,0.160058737151248,0.0745101470515856,0.465517524239723,154,816,0.188725490196078,0.122816419757812,0.650767522872564
Northeastern,2020-05-02,1644,13661,1253904,Northeastern,651,4263,0.152709359605911,0.0741683573862114,0.485683114496804,117,834,0.140287769784173,0.0933085786471692,0.665122688818283
Northeastern,2020-05-03,1748,14152,1253904,Northeastern,691,4418,0.156405613399728,0.0787255529245347,0.503342247207806,104,491,0.211812627291242,0.0829409587974837,0.391577026630428
Northeastern,2020-05-04,1857,14617,1253904,Northeastern,716,4259,0.168114580887532,0.0815738001359867,0.485227394942971,109,465,0.234408602150538,0.0869285048935166,0.370841786931057
Northeastern,2020-05-05,1984,15834,1253904,Northeastern,769,5093,0.150991557039073,0.0876120842242651,0.580244921917012,127,1217,0.104354971240756,0.101283670839235,0.970568719774401
Northeastern,2020-05-06,2119,16942,1253904,Northeastern,839,5654,0.148390519985851,0.0955871764163308,0.644159589341996,135,1108,0.121841155234657,0.107663744592887,0.883640214880884
Northeastern,2020-05-07,2198,18323,1253904,Northeastern,825,6312,0.130703422053232,0.0939921579779176,0.719125455947414,79,1381,0.057204923968139,0.0630032283173193,1.10136023172428
Northeastern,2020-05-08,2306,19303,1253904,Northeastern,779,6476,0.12029030265596,0.0887513831088459,0.737809957654539,108,980,0.110204081632653,0.08613099567431,0.781559034822443
Northeastern,2020-05-09,2388,20096,1253904,Northeastern,744,6435,0.115617715617716,0.084763837012813,0.733138832227758,82,793,0.103404791929382,0.0653957559749391,0.632424810830813
Northeastern,2020-05-10,2470,20644,1253904,Northeastern,722,6492,0.111213801601972,0.0822573794667352,0.739632835869868,82,548,0.14963503649635,0.0653957559749391,0.437035052125203
Northeastern,2020-05-11,2523,21234,1253904,Northeastern,666,6617,0.100649841317818,0.0758773057130826,0.753874071927129,53,590,0.0898305084745763,0.0422679886179484,0.470530439331879
Northeastern,2020-05-12,2568,22811,1253904,Northeastern,584,6977,0.0837035975347571,0.0665350548595199,0.794888831772038,45,1577,0.0285351934051997,0.0358879148642958,1.25767203868877
Northeastern,2020-05-13,2608,23898,1253904,Northeastern,489,6956,0.070299022426682,0.0557117154560021,0.792496304114419,40,1087,0.0367985280588776,0.031900368768263,0.866892521277546
Northeastern,2020-05-14,2646,25186,1253904,Northeastern,448,6863,0.0652775754043421,0.0510405900292207,0.781900824487817,38,1288,0.0295031055900621,0.0303053503298498,1.02719187433807
Northeastern,2020-05-15,2712,26436,1253904,Northeastern,406,7133,0.056918547595682,0.0462555347139813,0.812661894371499,66,1250,0.0528,0.0526356084676339,0.996886524008217
Northeastern,2020-05-16,2775,28074,1253904,Northeastern,387,7978,0.0485083980947606,0.0440908668332777,0.908932650118578,63,1638,0.0384615384615385,0.0502430808100142,1.30632010106037
Northeastern,2020-05-17,2831,29527,1253904,Northeastern,361,8883,0.040639423618147,0.0411286897333676,1.01203919917314,56,1453,0.0385409497591191,0.0446605162755681,1.15878089550715
Northeastern,2020-05-18,2850,31313,1253904,Northeastern,327,10079,0.0324436948109932,0.0372550735257928,1.14829934576901,19,1786,0.0106382978723404,0.0151526751649249,1.42435146550294
Northeastern,2020-05-19,2882,32209,1253904,Northeastern,314,9398,0.0334113641200255,0.0357739849758377,1.07071309172905,32,896,0.0357142857142857,0.0255202950146104,0.71456826040909
Northeastern,2020-05-20,2929,34258,1253904,Northeastern,321,10360,0.030984555984556,0.0365714941950443,1.18031364442573,47,2049,0.022938018545632,0.037482933302709,1.63409639015427
Northeastern,2020-05-21,2996,37467,1253904,Northeastern,350,12281,0.0284993078739516,0.0398754609603287,1.39917296015371,67,3209,0.0208787784356497,0.0534331176868405,2.5592070844339
Northeastern,2020-05-22,3076,40207,1253904,Northeastern,364,13771,0.0264323578534602,0.0414704793987419,1.56892849395625,80,2740,0.0291970802919708,0.0638007375365259,2.18517526062601
Northeastern,2020-05-23,3140,42229,1253904,Northeastern,365,14155,0.0257859413634758,0.0415844092871999,1.61267757112415,64,2022,0.0316518298714144,0.0510405900292207,1.61256364123569
Northeastern,2020-05-24,3168,44358,1253904,Northeastern,337,14831,0.0227226754770413,0.0383943724103736,1.68969417572181,28,2129,0.0131517144199155,0.0223302581377841,1.6978971276908
Northeastern,2020-05-25,3205,46227,1253904,Northeastern,355,14914,0.0238031379911493,0.0404451104026191,1.69915035646384,37,1869,0.019796682718031,0.0295078411106432,1.49054473069709
Northeastern,2020-05-26,3232,48035,1253904,Northeastern,350,15826,0.0221155061291546,0.0398754609603287,1.80305441473761,27,1808,0.0149336283185841,0.0215327489185775,1.44189666832549
Northeastern,2020-05-27,3292,50737,1253904,Northeastern,363,16479,0.0220280356817768,0.0413565495102838,1.87745063190073,60,2702,0.0222057735011103,0.0478505531523944,2.15486991029616
Northeastern,2020-05-28,3334,53720,1253904,Northeastern,338,16253,0.0207961607087922,0.0385083022988317,1.85170247710921,42,2983,0.0140797854508884,0.0334953872066761,2.37897000089321
Northeastern,2020-05-29,3382,57070,1253904,Northeastern,306,16863,0.0181462373243195,0.0348625458681731,1.92119970906864,48,3350,0.0143283582089552,0.0382804425219156,2.67165588434202
Northeastern,2020-05-30,3442,59661,1253904,Northeastern,302,17432,0.0173244607618173,0.0344068263143408,1.98602581560129,60,2591,0.0231570822076418,0.0478505531523944,2.06634638696423
Northeastern,2020-05-31,3470,60810,1253904,Northeastern,302,16452,0.0183564308290785,0.0344068263143408,1.87437452491237,28,1149,0.0243690165361184,0.0223302581377841,0.916338092868354
Northeastern,2020-06-01,3483,61479,1253904,Northeastern,278,15252,0.0182271177550485,0.0316725089913468,1.73765865876267,13,669,0.0194319880418535,0.0103676198496855,0.533533667649198
Northeastern,2020-06-02,3533,63727,1253904,Northeastern,301,15692,0.0191817486617385,0.0342928964258827,1.78778780968422,50,2248,0.0222419928825623,0.0398754609603287,1.79280072477638
Northeastern,2020-06-03,3589,67103,1253904,Northeastern,297,16366,0.0181473787119638,0.0338371768720504,1.86457655450497,56,3376,0.0165876777251185,0.0446605162755681,2.69239112404139
Northeastern,2020-06-04,3645,70164,1253904,Northeastern,311,16444,0.018912673315495,0.0354321953104635,1.8734630858047,56,3061,0.0182946749428291,0.0446605162755681,2.44117571999132
