herc_region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
North Central,2020-06-13,291,19548,467194,North Central,72,4026,0.0178837555886736,0.0220159383162333,1.23105788418271,4,435,0.00919540229885057,0.00856175378964627,0.931090724624032
North Central,2020-06-14,305,20067,467194,North Central,83,3896,0.0213039014373717,0.02537948444788,1.19130688444507,14,519,0.0269749518304432,0.0299661382637619,1.1108875542066
North Central,2020-06-15,315,20426,467194,North Central,91,3862,0.0235629207664423,0.0278256998163504,1.18091046912907,10,359,0.0278551532033426,0.0214043844741157,0.768417402620753
North Central,2020-06-16,320,21343,467194,North Central,85,4344,0.0195672191528545,0.0259910382899976,1.32829494507941,5,917,0.0054525627044711,0.0107021922370578,1.96278205627641
North Central,2020-06-17,330,22059,467194,North Central,79,4493,0.0175829067438237,0.0241563767636448,1.37385570631717,10,716,0.0139664804469274,0.0214043844741157,1.53255392834668
North Central,2020-06-18,351,22937,467194,North Central,81,4816,0.0168189368770764,0.0247679306057624,1.47262165181916,21,878,0.0239179954441913,0.0449492073956429,1.87930495682736
Northeast,2020-03-15,0,NA,474200,Northeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeast,2020-03-16,0,NA,474200,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northeast,2020-03-17,0,NA,474200,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northeast,2020-03-18,1,NA,474200,Northeast,NA,NA,NA,NA,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-19,2,NA,474200,Northeast,NA,NA,NA,NA,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-20,2,NA,474200,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northeast,2020-03-21,3,NA,474200,Northeast,NA,NA,NA,NA,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-22,3,NA,474200,Northeast,3,NA,NA,0.000903777791167078,NA,0,NA,NA,0,NA
Northeast,2020-03-23,3,NA,474200,Northeast,3,NA,NA,0.000903777791167078,NA,0,NA,NA,0,NA
Northeast,2020-03-24,3,NA,474200,Northeast,3,NA,NA,0.000903777791167078,NA,0,NA,NA,0,NA
Northeast,2020-03-25,3,NA,474200,Northeast,2,NA,NA,0.000602518527444719,NA,0,NA,NA,0,NA
Northeast,2020-03-26,4,NA,474200,Northeast,2,NA,NA,0.000602518527444719,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-27,6,NA,474200,Northeast,4,NA,NA,0.00120503705488944,NA,2,NA,NA,0.00421762969211303,NA
Northeast,2020-03-28,7,NA,474200,Northeast,4,NA,NA,0.00120503705488944,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-29,7,NA,474200,Northeast,4,NA,NA,0.00120503705488944,NA,0,NA,NA,0,NA
Northeast,2020-03-30,8,406,474200,Northeast,5,NA,NA,0.0015062963186118,NA,1,NA,NA,0.00210881484605652,NA
Northeast,2020-03-31,12,477,474200,Northeast,9,NA,NA,0.00271133337350124,NA,4,71,0.0563380281690141,0.00843525938422606,0.149725854070013
Northeast,2020-04-01,15,521,474200,Northeast,12,NA,NA,0.00361511116466831,NA,3,44,0.0681818181818182,0.00632644453816955,0.0927878532264867
Northeast,2020-04-02,22,590,474200,Northeast,18,NA,NA,0.00542266674700247,NA,7,69,0.101449275362319,0.0147617039223956,0.1455082243779
Northeast,2020-04-03,29,682,474200,Northeast,23,NA,NA,0.00692896306561427,NA,7,92,0.0760869565217391,0.0147617039223956,0.194010965837199
Northeast,2020-04-04,33,785,474200,Northeast,26,NA,NA,0.00783274085678135,NA,4,103,0.0388349514563107,0.00843525938422606,0.217207929143821
Northeast,2020-04-05,40,863,474200,Northeast,33,NA,NA,0.00994155570283786,NA,7,78,0.0897435897435897,0.0147617039223956,0.164487557992408
Northeast,2020-04-06,53,965,474200,Northeast,45,559,0.0805008944543828,0.0135566668675062,0.168403928420799,13,102,0.127450980392157,0.0274145929987347,0.215099114297765
Northeast,2020-04-07,58,1100,474200,Northeast,46,623,0.0738362760834671,0.0138579261312285,0.18768452129903,5,135,0.037037037037037,0.0105440742302826,0.28469000421763
Northeast,2020-04-08,65,1156,474200,Northeast,50,635,0.078740157480315,0.015062963186118,0.191299632463698,7,56,0.125,0.0147617039223956,0.118093631379165
Northeast,2020-04-09,70,1240,474200,Northeast,48,650,0.0738461538461539,0.0144604446586733,0.195818521419534,5,84,0.0595238095238095,0.0105440742302826,0.177140447068747
Northeast,2020-04-10,75,1361,474200,Northeast,46,679,0.0677466863033873,0.0138579261312285,0.204555040067482,5,121,0.0413223140495868,0.0105440742302826,0.255166596372838
Northeast,2020-04-11,81,1431,474200,Northeast,48,646,0.0743034055727554,0.0144604446586733,0.194613484364644,6,70,0.0857142857142857,0.0126528890763391,0.147617039223956
Northeast,2020-04-12,91,1482,474200,Northeast,51,619,0.0823909531502423,0.0153642224498403,0.18647948424414,10,51,0.196078431372549,0.0210881484605652,0.107549557148882
Northeast,2020-04-13,101,1606,474200,Northeast,48,641,0.0748829953198128,0.0144604446586733,0.193107188046032,10,124,0.0806451612903226,0.0210881484605652,0.261493040911008
Northeast,2020-04-14,124,1703,474200,Northeast,66,603,0.109452736318408,0.0198831114056757,0.181659336024583,23,97,0.237113402061856,0.0485027414592999,0.204555040067482
Northeast,2020-04-15,142,1796,474200,Northeast,77,640,0.1203125,0.0231969633066217,0.19280592878231,18,93,0.193548387096774,0.0379586672290173,0.196119780683256
Northeast,2020-04-16,169,1916,474200,Northeast,99,676,0.146449704142012,0.0298246671085136,0.203651262276315,27,120,0.225,0.0569380008435259,0.253057781526782
Northeast,2020-04-17,212,2045,474200,Northeast,137,684,0.200292397660819,0.0412725191299632,0.206061336386094,43,129,0.333333333333333,0.0906790383804302,0.272037115141291
Northeast,2020-04-18,238,2167,474200,Northeast,157,736,0.213315217391304,0.0472977044044104,0.221726818099657,26,122,0.213114754098361,0.0548291859974694,0.257275411218895
Northeast,2020-04-19,249,2255,474200,Northeast,158,773,0.204398447606727,0.0475989636681328,0.232873410857384,11,88,0.125,0.0231969633066217,0.185575706452973
Northeast,2020-04-20,321,2415,474200,Northeast,220,809,0.271940667490729,0.0662770380189191,0.243718744351389,72,160,0.45,0.151834668916069,0.337410375369043
Northeast,2020-04-21,351,2545,474200,Northeast,227,842,0.269596199524941,0.0683858528649756,0.253660300054227,30,130,0.230769230769231,0.0632644453816955,0.274145929987347
Northeast,2020-04-22,439,2748,474200,Northeast,297,952,0.311974789915966,0.0894740013255408,0.286798819063686,88,203,0.433497536945813,0.185575706452973,0.428089413749473
Northeast,2020-04-23,494,2930,474200,Northeast,325,1014,0.320512820512821,0.0979092607097668,0.305476893414473,55,182,0.302197802197802,0.115984816533108,0.383804301982286
Northeast,2020-04-24,646,3338,474200,Northeast,434,1293,0.335653518948183,0.130746520455504,0.389528227993011,152,408,0.372549019607843,0.32053985660059,0.860396457191059
Northeast,2020-04-25,764,3692,474200,Northeast,526,1525,0.344918032786885,0.158462372717961,0.459420377176598,118,354,0.333333333333333,0.248840151834669,0.746520455504007
Northeast,2020-04-26,822,3816,474200,Northeast,573,1561,0.367072389493914,0.172621558112912,0.470265710670603,58,124,0.467741935483871,0.122311261071278,0.261493040911008
Northeast,2020-04-27,901,4238,474200,Northeast,580,1823,0.31815688425672,0.174730372958968,0.549195637765861,79,422,0.187203791469194,0.166596372838465,0.88991986503585
Northeast,2020-04-28,971,4477,474200,Northeast,620,1932,0.320910973084886,0.186780743507863,0.582032897511598,70,239,0.292887029288703,0.147617039223956,0.504006748207507
Northeast,2020-04-29,1024,4843,474200,Northeast,585,2095,0.279236276849642,0.17623666927758,0.631138157498343,53,366,0.144808743169399,0.111767186840995,0.771826233656685
