FIPS,GEO,County,Date,Cases,Tests,Population,pop_2018,Region,herc_region,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55063,County,La Crosse,2020-03-17,0,NA,118016,118333,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55065,County,Lafayette,2020-03-17,0,NA,16665,16883,Southern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55067,County,Langlade,2020-03-17,0,NA,19189,19777,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55069,County,Lincoln,2020-03-17,0,NA,27593,28442,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55071,County,Manitowoc,2020-03-17,0,NA,78981,80254,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55073,County,Marathon,2020-03-17,0,NA,135692,134741,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55075,County,Marinette,2020-03-17,0,NA,40350,40938,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55077,County,Marquette,2020-03-17,0,NA,15574,15378,Northeastern,South Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55078,County,Menominee,2020-03-17,0,NA,4556,4382,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55079,County,Milwaukee,2020-03-17,24,NA,945726,944479,Southeastern,Southeast,NA,NA,NA,NA,NA,11,NA,NA,0.0116312758663714,NA
55081,County,Monroe,2020-03-17,0,NA,46253,45998,Western,Western,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55083,County,Oconto,2020-03-17,0,NA,37930,37962,Northeastern,Northeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55085,County,Oneida,2020-03-17,0,NA,35595,35913,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55087,County,Outagamie,2020-03-17,1,NA,187885,183800,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55089,County,Ozaukee,2020-03-17,0,NA,89221,88360,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55091,County,Pepin,2020-03-17,0,NA,7287,7349,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55093,County,Pierce,2020-03-17,1,NA,42754,41635,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55095,County,Polk,2020-03-17,0,NA,43783,43900,Western,Northwest,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55097,County,Portage,2020-03-17,0,NA,70772,70719,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55099,County,Price,2020-03-17,0,NA,13351,13808,Northern,North Central,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55101,County,Racine,2020-03-17,1,NA,196311,195230,Southeastern,Southeast,NA,NA,NA,NA,NA,0,NA,NA,0,NA
