FIPS,GEO,County,Date,Cases,Tests,Population,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55059,County,Kenosha,2020-03-16,0,NA,169561,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55061,County,Kewaunee,2020-03-16,0,NA,20434,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55063,County,La Crosse,2020-03-16,0,NA,118016,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55065,County,Lafayette,2020-03-16,0,NA,16665,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55067,County,Langlade,2020-03-16,0,NA,19189,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55069,County,Lincoln,2020-03-16,0,NA,27593,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55071,County,Manitowoc,2020-03-16,0,NA,78981,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55073,County,Marathon,2020-03-16,0,NA,135692,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55075,County,Marinette,2020-03-16,0,NA,40350,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55077,County,Marquette,2020-03-16,0,NA,15574,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55078,County,Menominee,2020-03-16,0,NA,4556,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55079,County,Milwaukee,2020-03-16,13,NA,945726,NA,NA,NA,NA,NA,6,NA,NA,0.00634433229074806,NA
55081,County,Monroe,2020-03-16,0,NA,46253,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55083,County,Oconto,2020-03-16,0,NA,37930,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55085,County,Oneida,2020-03-16,0,NA,35595,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55087,County,Outagamie,2020-03-16,1,NA,187885,NA,NA,NA,NA,NA,1,NA,NA,0.00532240466242648,NA
55089,County,Ozaukee,2020-03-16,0,NA,89221,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55091,County,Pepin,2020-03-16,0,NA,7287,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55093,County,Pierce,2020-03-16,1,NA,42754,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55095,County,Polk,2020-03-16,0,NA,43783,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55097,County,Portage,2020-03-16,0,NA,70772,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55099,County,Price,2020-03-16,0,NA,13351,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55101,County,Racine,2020-03-16,1,NA,196311,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55103,County,Richland,2020-03-16,0,NA,17252,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55105,County,Rock,2020-03-16,0,NA,163354,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55107,County,Rusk,2020-03-16,0,NA,14178,NA,NA,NA,NA,NA,0,NA,NA,0,NA
